Overall Rating,House Type,Number of Reviews,Number of beds,Number of Bath,Number of bedroom,Number of guests,Superhost,New Listing,Latitude,Longitude,Cleanliness,Accuracy,Communication,Location,Check_in,Value,Essentials,Air conditioning,Cleaning products,Cooking basics,Dryer,Heating,Hot tub,Kitchen,Pool,Washer,Wifi,Bathtub,TV,Dishwasher,Stove,Beach access,Lake access,Waterfront,BBQ grill,Fire pit,Free parking on premise,Sauna,Breakfast,Bay view,Beach view,Canal view,City skyline view,Courtyard view,Desert view,Garden view,Golf course view,Harbor view,Lake view,Marina view,Mountain view,Ocean view,Park view,Pool view,Resort view,River view,Sea view,Valley view,Vineyard view,Fireplace,Cost
4.89,home ,53,2.0,1.0,2.0,4.0,True,False,39.0643900000,-94.4603800000,4.90,4.90,4.90,4.80,4.90,4.90,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,171
4.98,vacation home ,66,1.0,1.0,1.0,3.0,True,False,39.1026000000,-94.5835000000,5.00,5.00,5.00,5.00,4.80,5.00,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,226
4.84,loft,115,1.0,1.0,1.0,4.0,False,False,39.1110100000,-94.5861600000,4.80,4.90,5.00,5.00,4.90,4.80,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,223
4.57,Room,7,1.0,1.0,1.0,4.0,False,False,39.2230000000,-94.5666000000,4.70,4.60,5.00,5.00,4.60,4.40,True,True,True,True,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,68
4.96,rental unit ,55,2.0,1.5,2.0,4.0,False,False,39.1017000000,-94.5914000000,4.90,4.90,5.00,5.00,4.90,4.90,True,True,False,True,True,True,False,True,False,True,True,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,246
4.98,Room,58,1.0,1.0,1.0,2.0,False,False,38.9463100000,-94.7205200000,5.00,5.00,5.00,4.90,5.00,5.00,True,True,False,False,True,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,57
4.79,condo ,610,3.0,1.0,2.0,5.0,False,False,39.0566000000,-94.6059000000,4.70,4.90,4.90,4.90,5.00,4.80,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,139
5.00,Room,3,1.0,1.0,1.0,2.0,False,False,38.8477567891,-94.7422607052,5.00,5.00,5.00,5.00,5.00,5.00,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,143
4.76,rental unit ,67,1.0,1.0,1.0,2.0,False,False,39.1041400000,-94.5833100000,4.70,4.80,4.70,4.80,4.70,4.60,True,True,False,True,True,True,False,True,False,True,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,213
4.91,Room,46,4.0,1.5,1.0,6.0,False,False,39.0370900000,-94.6989200000,4.80,5.00,4.90,4.90,5.00,5.00,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,62
